iter	Passed	Remaining
0	2	280
1	5	264
2	7	248
3	9	227
4	11	225
5	14	223
6	16	221
7	18	218
8	21	214
9	23	209
10	25	205
11	27	203
12	29	199
13	32	199
14	35	199
15	37	196
16	39	193
17	41	190
18	44	187
19	46	186
20	49	184
21	51	181
22	53	179
23	55	176
24	57	173
25	59	169
26	61	167
27	64	164
28	66	162
29	68	159
30	70	157
31	73	155
32	75	152
33	77	150
34	79	148
35	82	145
36	84	143
37	86	140
38	88	138
39	90	136
40	93	134
41	94	130
42	96	127
43	98	125
44	100	123
45	102	120
46	104	117
47	106	115
48	108	112
49	109	109
50	110	106
51	112	103
52	113	100
53	114	97
54	115	94
55	116	91
56	118	89
57	119	86
58	120	83
59	122	81
60	123	78
61	124	76
62	125	73
63	127	71
64	128	69
65	129	66
66	131	64
67	132	62
68	133	60
69	135	57
70	136	55
71	137	53
72	139	51
73	140	49
74	141	47
75	142	45
76	144	43
77	145	41
78	146	38
79	147	36
80	149	35
81	150	33
82	151	31
83	153	29
84	154	27
85	155	25
86	156	23
87	158	21
88	159	19
89	160	17
90	162	16
91	163	14
92	164	12
93	166	10
94	167	8
95	168	7
96	170	5
97	171	3
98	172	1
99	173	0
