iter	Passed	Remaining
0	216	216080
1	218	109143
2	221	73505
3	223	55642
4	225	44946
5	228	37855
6	231	32771
7	233	28925
8	235	25924
9	237	23512
10	239	21537
11	242	19966
12	244	18581
13	247	17454
14	250	16428
15	252	15518
16	254	14718
17	256	14019
18	259	13391
19	262	12857
20	264	12341
21	266	11866
22	269	11434
23	271	11032
24	273	10664
25	275	10332
26	278	10041
27	281	9758
28	283	9482
29	285	9230
30	287	9000
31	290	8785
32	293	8587
33	295	8394
34	297	8212
35	300	8035
36	302	7865
37	304	7701
38	307	7574
39	309	7436
40	312	7300
41	314	7173
42	316	7054
43	319	6940
44	321	6827
45	324	6721
46	326	6615
47	328	6522
48	331	6436
49	334	6347
50	336	6259
51	338	6173
52	341	6093
53	343	6013
54	346	5945
55	348	5872
56	350	5800
57	352	5731
58	355	5666
59	357	5602
60	361	5561
61	363	5500
62	365	5443
63	368	5387
64	370	5334
65	373	5279
66	375	5233
67	377	5179
68	380	5129
69	382	5080
70	384	5033
71	386	4986
72	389	4945
73	391	4902
74	393	4858
75	396	4816
76	398	4772
77	400	4731
78	402	4692
79	405	4667
80	408	4633
81	410	4598
82	412	4553
83	414	4519
84	416	4487
85	419	4457
86	421	4427
87	424	4396
88	426	4365
89	428	4335
90	431	4305
91	433	4278
92	435	4251
93	438	4222
94	440	4194
95	442	4166
96	444	4140
97	446	4113
98	449	4092
99	452	4068
100	454	4043
101	456	4018
102	458	3995
103	461	3971
104	463	3952
105	466	3931
106	468	3909
107	470	3886
108	472	3864
109	474	3842
110	477	3822
111	480	3807
112	482	3789
113	484	3769
114	487	3749
115	489	3729
116	492	3714
117	495	3704
118	498	3688
119	500	3669
120	502	3651
121	504	3630
122	507	3615
123	510	3605
124	512	3589
125	515	3573
126	517	3553
127	519	3539
128	521	3523
129	524	3509
130	527	3496
131	529	3480
132	531	3465
133	533	3450
134	535	3433
135	538	3420
136	541	3408
137	543	3393
138	545	3379
139	547	3365
140	550	3352
141	551	3334
142	554	3323
143	556	3310
144	559	3297
145	561	3284
146	563	3272
147	566	3259
148	569	3250
149	571	3238
150	573	3224
151	575	3211
152	577	3199
153	580	3187
154	582	3175
155	585	3167
156	587	3155
157	590	3144
158	592	3133
159	594	3121
160	595	3105
161	598	3096
162	601	3086
163	603	3075
164	605	3065
165	608	3054
166	610	3043
167	613	3036
168	615	3027
169	618	3017
170	620	3006
171	622	2996
172	624	2985
173	627	2976
174	629	2968
175	632	2960
176	634	2950
177	636	2940
178	639	2931
179	641	2921
180	644	2915
181	646	2906
182	648	2897
183	651	2887
184	653	2878
185	655	2869
186	658	2862
187	660	2854
188	663	2846
189	665	2837
190	667	2828
191	670	2820
192	672	2814
193	675	2805
194	677	2797
195	679	2788
196	682	2780
197	684	2773
198	687	2767
199	689	2759
200	692	2751
201	694	2743
202	696	2734
203	698	2727
204	702	2722
205	704	2715
206	706	2706
207	708	2698
208	710	2690
209	713	2683
210	715	2675
211	718	2669
212	720	2662
213	722	2655
214	725	2647
215	727	2640
216	729	2633
217	732	2628
218	734	2621
219	737	2613
220	739	2607
221	741	2599
222	744	2592
223	746	2587
224	749	2580
225	751	2573
226	753	2566
227	755	2559
228	758	2552
229	760	2546
230	763	2541
231	765	2534
232	768	2528
233	770	2521
234	772	2515
235	775	2509
236	777	2503
237	780	2497
238	782	2490
239	784	2483
240	786	2476
241	788	2470
242	791	2465
243	793	2459
244	795	2452
245	797	2445
246	800	2439
247	802	2432
248	804	2426
249	807	2422
250	809	2416
251	812	2412
252	815	2406
253	817	2400
254	819	2394
255	822	2389
256	824	2384
257	826	2378
258	829	2371
259	831	2365
260	833	2360
261	836	2355
262	838	2349
263	840	2343
264	842	2337
265	845	2332
266	847	2326
267	849	2321
268	852	2315
269	854	2310
270	856	2304
271	859	2299
272	861	2293
273	863	2287
274	866	2283
275	868	2277
276	870	2271
277	872	2266
278	874	2261
279	877	2255
280	879	2251
281	882	2245
282	884	2240
283	886	2233
284	888	2227
285	890	2222
286	892	2217
287	895	2213
288	897	2208
289	900	2203
290	902	2198
291	904	2193
292	907	2188
293	909	2184
294	911	2179
295	914	2174
296	916	2169
297	918	2164
298	921	2160
299	924	2156
300	926	2151
301	929	2147
302	931	2142
303	933	2137
304	935	2132
305	938	2128
306	940	2123
307	943	2119
308	945	2114
309	947	2109
310	950	2105
311	952	2099
312	955	2097
313	957	2092
314	959	2087
315	962	2082
316	964	2077
317	966	2072
318	968	2068
319	971	2063
320	973	2058
321	975	2054
322	977	2049
323	980	2045
324	982	2040
325	985	2037
326	987	2033
327	990	2028
328	992	2023
329	994	2018
330	996	2013
331	999	2010
332	1001	2006
333	1003	2001
334	1006	1997
335	1008	1992
336	1010	1988
337	1012	1983
338	1015	1979
339	1017	1974
340	1019	1970
341	1021	1965
342	1023	1960
343	1025	1956
344	1028	1951
345	1030	1948
346	1033	1944
347	1035	1939
348	1037	1934
349	1039	1929
350	1041	1925
351	1044	1921
352	1046	1917
353	1048	1912
354	1050	1908
355	1052	1903
356	1054	1899
357	1057	1895
358	1060	1892
359	1062	1888
360	1064	1884
361	1066	1880
362	1069	1876
363	1071	1872
364	1074	1869
365	1076	1865
366	1079	1861
367	1081	1856
368	1083	1852
369	1085	1848
370	1087	1844
371	1090	1840
372	1092	1836
373	1094	1832
374	1096	1828
375	1099	1824
376	1101	1820
377	1105	1818
378	1107	1813
379	1109	1810
380	1111	1806
381	1114	1802
382	1116	1798
383	1119	1795
384	1121	1791
385	1124	1788
386	1126	1784
387	1129	1780
388	1131	1776
389	1134	1773
